titel;verantwoordelijken;impressum;isbn_bindwijze
De nachtegaal;"Kristin Hannah ; vertaling [uit het Engels] door Corrie van den Berg en Daniëlle Stensen";Amsterdam : Boekerij;9789049205430 - paperback
De Venetiaanse dochter;"Ella Carey ; vertaald [uit het Engels] door Renée de Graaf";Amsterdam : Boekerij;9789049205232 - paperback
Een vrouw in oorlogstijd;"Mandy Robotham ; vertaald [uit het Engels] door Annemarie de Vries";Amsterdam : Boekerij;9789049204501 - paperback
Het Berlijnse meisje;"Mandy Robotham ; vertaald [uit het Engels] door Annemarie de Vries";Amsterdam : Boekerij;9789049202569 - paperback
De typiste van Venetië ;"Mandy Robotham ; vertaald [uit het Engels] door Irene Paridaans";Amsterdam : Boekerij;9789049202514 - paperback
Een eiland in zee : de omnibus;Annika Thor;Rotterdam : Lemniscaat;9789047717591 - gebonden
Zolang iemand aan je denkt;Luc Hanegreefs;[Amsterdam] : Clavis;9789044858396 - gebonden
Alleen meisjes kunnen vliegen;Luc Hanegreefs;[Alkmaar] : Clavis;9789044844856 - gebonden
Speuren in Lucebert : een lezersvisie op diens gedichten;H.U. Jessurun d'Oliveira;Amsterdam : Prometheus;9789044658538 - paperback
Eén grootse daad;"Georgia Hunter ; vertaald [uit het Engels] door Kees van Weele";Amsterdam : The House of Books;9789044369809 - paperback
Het gebroken huis;"Horst Krüger ; vertaald [uit het Duits] door Liesbeth van Nes";Amsterdam : Uitgeverij Rainbow;9789041716187 - paperback
't Hooge Nest;Roxane van Iperen;Amsterdam : Uitgeverij Rainbow bv;9789041715395 - paperback
Amsterdam : de verdwijning;Kiki van Dijk;Deventer : Boeken met Grote Letters;9789036445290 - gebonden
Het meisje van de Kommandant;"Pam Jenoff ; vertaling [uit het Engels] Mieke Trouw";Deventer : Boeken met Grote Letters;9789036444521 - gebonden
Het verborgen paleis;"Dinah Jefferies ; vertaling [uit het Engels] Erica van Rijsewijk";Deventer : Boeken met Grote Letters;9789036443968 - gebonden
Kinderen van Oekraïne;"Erin Litteken ; vertaling [uit het Engels] Angelique Verheijen";Deventer : Boeken met Grote Letters;9789036442077 - gebonden
Het meisje met de halve ster;Judith Visser;Deventer :  Boeken met Grote Letters;9789036442053 - gebonden
De verborgen bibliotheek van Warschau;"Madeline Martin ; vertaling [uit het Engels] Selma Soester";Amsterdam : Harlequin;9789036019613 - paperback
De porseleinmaker van Dachau;"Sarah Freethy ; vertaling [uit het Engels] Caspar Wijers";"Toronto ; Amsterdam : Harlequin®";9789036017183 - paperback
De laatste boekwinkel van Londen;"Madeline Martin ; vertaling [uit het Engels]: Angela Knotter";"Toronto ; Amsterdam : Harlequin®";9789036016865 - paperback
Vuur over Londen;Rijk Arends;Houten : Den Hertog;9789033133442 - gebonden
As in de sneeuw;"Oriana Ramunno ; vertaald [uit het Engels] door Esther Smit-Schiphorst en Pauline van Roijen";Utrecht : KokBoekencentrum;9789029739801 - paperback
Codenaam Hélène : roman;"Ariel Lawhon ; vertaald [uit het Engels] door Marijne Thomas";Utrecht : KokBoekencentrum Uitgevers;9789029739641 - paperback
